Filename,Laplacian Variance,Blurry
2022180.0.png,144.42,True
1133214.0.png,4.72,True
1309949.0.png,60.57,True
637159.0.png,597.77,False
965045.0.png,121.07,True
1307411.0.png,14.66,True
2319714.0.png,844.41,False
1013921.0.png,29.47,True
809120.0.png,2.70,True
2422798.0.png,25.76,True
930551.0.png,233.81,False
1134691.0.png,8.24,True
676716.0.png,347.63,False
844380.0.png,355.56,False
689060.0.png,322.14,False
921958.0.png,68.68,True
1140841.0.png,0.53,True
1141449.0.png,6.82,True
630655.0.png,1265.13,False
29502.0.png,11.25,True
1132995.0.png,6.75,True
2383289.0.png,581.79,False
30349.0.png,0.33,True
894514.0.png,2.85,True
2273853.0.png,273.37,False
2176647.0.png,131.43,True
609185.0.png,10.58,True
677339.0.png,113.68,True
952472.0.png,10.53,True
844643.0.png,249.96,False
2325818.0.png,54.22,True
31095.0.png,106.54,True
630441.0.png,118.90,True
1137578.0.png,8.07,True
649861.0.png,6.76,True
625848.0.png,305.25,False
1133216.0.png,5.12,True
682158.0.png,7.67,True
27587.0.png,1.91,True
2305328.0.png,1.99,True
684363.0.png,512.80,False
2388515.0.png,145.11,True
776007.0.png,199.86,False
529481.0.png,209.65,False
1035486.0.png,3.71,True
828618.0.png,324.88,False
645161.0.png,1091.76,False
1038164.0.png,70.85,True
373787.0.png,39.48,True
520774.0.png,1061.79,False
2426210.0.png,3.60,True
954318.0.png,2.92,True
2475874.0.png,86.23,True
2327393.0.png,68.21,True
610429.0.png,592.97,False
1132725.0.png,5.67,True
461853.0.png,948.61,False
620510.0.png,51.20,True
620437.0.png,97.80,True
994212.0.png,1.61,True
955260.0.png,407.98,False
421727.0.png,139.01,True
684184.0.png,78.78,True
566871.0.png,1145.18,False
27394.0.png,1.50,True
1185195.0.png,140.63,True
2298795.0.png,12.35,True
1032836.0.png,2.15,True
1173635.0.png,84.59,True
824055.0.png,3.73,True
738455.0.png,132.92,True
638522.0.png,1350.32,False
1143467.0.png,44.20,True
739858.0.png,8.05,True
672582.0.png,2.25,True
507050.0.png,1115.70,False
31867.0.png,0.82,True
2281123.0.png,323.57,False
701570.0.png,649.88,False
921217.0.png,989.95,False
1206871.0.png,42.99,True
579727.0.png,187.93,False
613312.0.png,3.17,True
643027.0.png,867.31,False
2416281.0.png,499.78,False
1024222.0.png,2502.93,False
307899.0.png,165.02,False
1004664.0.png,127.44,True
947622.0.png,1529.52,False
756725.0.png,1692.46,False
694168.0.png,6.31,True
2421822.0.png,73.51,True
2421696.0.png,77.84,True
427027.0.png,20.96,True
33023.0.png,3.79,True
725818.0.png,303.82,False
1133280.0.png,2.36,True
682426.0.png,986.70,False
543637.0.png,88.15,True
1017394.0.png,1022.11,False
30547.0.png,11.73,True
587091.0.png,453.76,False
687551.0.png,113.43,True
694549.0.png,5.93,True
1134996.0.png,1.38,True
514369.0.png,548.51,False
30374.0.png,14.38,True
617321.0.png,442.96,False
1200899.0.png,253.25,False
1033311.0.png,3.25,True
1133218.0.png,3.03,True
791749.0.png,482.04,False
1366962.0.png,114.26,True
2300682.0.png,29.68,True
636534.0.png,506.74,False
817480.0.png,713.41,False
1140475.0.png,14.55,True
1031955.0.png,1.37,True
2371460.0.png,4.43,True
623481.0.png,74.95,True
1012613.0.png,1.53,True
490398.0.png,255.33,False
769670.0.png,538.85,False
757828.0.png,34.16,True
504304.0.png,279.77,False
1018159.0.png,301.57,False
2287343.0.png,175.14,False
556060.0.png,557.93,False
899484.0.png,155.30,False
1135098.0.png,1.98,True
2076096.0.png,173.12,False
2261484.0.png,153.69,False
1973157.0.png,69.65,True
1136747.0.png,0.66,True
1046325.0.png,1036.51,False
674879.0.png,662.25,False
1034858.0.png,4.65,True
950662.0.png,492.16,False
755203.0.png,600.34,False
1239905.0.png,35.34,True
800615.0.png,123.88,True
1052412.0.png,179.32,False
1310199.0.png,43.39,True
2043254.0.png,3.80,True
640048.0.png,209.40,False
710872.0.png,2.24,True
678855.0.png,188.11,False
822103.0.png,9.95,True
925112.0.png,42.03,True
1140063.0.png,1.52,True
1306410.0.png,13.53,True
2397383.0.png,2.06,True
508946.0.png,174.99,False
700845.0.png,62.59,True
2199894.0.png,82.76,True
764907.0.png,3.63,True
615806.0.png,43.31,True
2453311.0.png,919.95,False
1041990.0.png,422.29,False
1003657.0.png,115.94,True
2406620.0.png,192.71,False
1272987.0.png,38.75,True
368417.0.png,248.48,False
1135866.0.png,2.49,True
2377120.0.png,327.04,False
493698.0.png,3.11,True
647771.0.png,395.64,False
509063.0.png,455.86,False
699338.0.png,415.83,False
441370.0.png,400.55,False
712008.0.png,1457.85,False
843008.0.png,7.99,True
821168.0.png,902.56,False
2253829.0.png,286.12,False
690834.0.png,4.23,True
590984.0.png,2460.51,False
519648.0.png,288.62,False
2093650.0.png,504.38,False
505395.0.png,333.45,False
577500.0.png,146.83,True
860724.0.png,1118.04,False
897651.0.png,642.34,False
1132994.0.png,7.79,True
345391.0.png,279.25,False
897544.0.png,190.54,False
844758.0.png,192.27,False
680776.0.png,8.31,True
1027218.0.png,273.44,False
816122.0.png,534.86,False
937818.0.png,9.66,True
694055.0.png,75.51,True
1312243.0.png,23.60,True
494102.0.png,3.75,True
2163432.0.png,403.44,False
894135.0.png,1.39,True
813053.0.png,263.31,False
836324.0.png,140.65,True
1236055.0.png,12.53,True
1141972.0.png,36.07,True
824368.0.png,307.28,False
1136769.0.png,2.50,True
1133266.0.png,6.13,True
1258577.0.png,14.82,True
1139936.0.png,1.03,True
2391449.0.png,417.92,False
2397957.0.png,308.52,False
1026770.0.png,512.14,False
663091.0.png,7.69,True
2484665.0.png,2.15,True
992437.0.png,374.37,False
989920.0.png,2.31,True
446966.0.png,75.78,True
980695.0.png,430.25,False
2066097.0.png,324.18,False
972738.0.png,0.86,True
829671.0.png,1422.37,False
1005959.0.png,2.27,True
946008.0.png,557.82,False
965152.0.png,7.06,True
918138.0.png,220.44,False
1017395.0.png,1049.60,False
1132993.0.png,8.17,True
1029345.0.png,1.67,True
826793.0.png,1.47,True
1140625.0.png,1.25,True
874540.0.png,9.89,True
462858.0.png,87.21,True
1015015.0.png,2.54,True
1527189.0.png,142.93,True
1138505.0.png,0.14,True
1296634.0.png,16.53,True
945310.0.png,10.05,True
2179041.0.png,4.23,True
308697.0.png,1.52,True
2268930.0.png,113.32,True
2488977.0.png,293.09,False
1048846.0.png,349.35,False
961690.0.png,2.74,True
2239874.0.png,132.90,True
815206.0.png,195.26,False
1008477.0.png,59.81,True
467241.0.png,963.87,False
685156.0.png,359.60,False
476155.0.png,112.53,True
611593.0.png,347.68,False
2004018.0.png,226.92,False
1140413.0.png,16.14,True
813507.0.png,288.10,False
914287.0.png,331.11,False
873866.0.png,672.66,False
673054.0.png,625.77,False
1018838.0.png,0.79,True
92349.0.png,146.40,True
859837.0.png,283.67,False
2191580.0.png,4.09,True
905722.0.png,3.56,True
727588.0.png,606.23,False
1137139.0.png,1.51,True
2332209.0.png,9.14,True
2461078.0.png,989.11,False
995441.0.png,1.69,True
672190.0.png,1146.14,False
1015524.0.png,9.79,True
559082.0.png,241.71,False
77016.0.png,77.31,True
2271635.0.png,495.10,False
812596.0.png,348.28,False
995504.0.png,470.70,False
853042.0.png,3179.97,False
738585.0.png,4.13,True
962182.0.png,594.99,False
614430.0.png,584.95,False
1021167.0.png,961.57,False
2308054.0.png,321.90,False
608201.0.png,600.43,False
937465.0.png,1.56,True
885353.0.png,2.70,True
575039.0.png,1351.08,False
838669.0.png,431.19,False
592408.0.png,478.28,False
638012.0.png,15.40,True
527514.0.png,17.03,True
980176.0.png,811.08,False
2348771.0.png,2009.76,False
789682.0.png,1.48,True
599009.0.png,518.78,False
647691.0.png,410.41,False
857269.0.png,6.82,True
1025262.0.png,829.68,False
1016681.0.png,451.71,False
1294112.0.png,11.01,True
884259.0.png,5.51,True
1133269.0.png,5.57,True
868842.0.png,902.75,False
2087485.0.png,463.39,False
843550.0.png,7.34,True
2187790.0.png,15.30,True
902932.0.png,73.46,True
933396.0.png,17.51,True
721311.0.png,543.68,False
473798.0.png,249.24,False
1137228.0.png,1.38,True
2089037.0.png,496.49,False
901015.0.png,5.31,True
1136756.0.png,2.35,True
487049.0.png,3.26,True
964327.0.png,871.46,False
950343.0.png,6.27,True
438316.0.png,251.03,False
1134798.0.png,1.99,True
971533.0.png,1118.17,False
