file_name,width,height,avg_intensity,std_intensity,min_intensity,max_intensity,intensity_range,avg_gradient,aspect_ratio
648428.0.png,128,128,140.65740966796875,27.57719992303184,62,254,192,65.32768874954502,1.0
804891.0.png,128,128,143.331298828125,30.175918243986096,60,254,194,56.92703223631578,1.0
466794.0.png,128,128,143.53204345703125,29.00498885520039,66,253,187,63.93390456581519,1.0
2093650.0.png,128,128,168.23150634765625,29.57082840577794,72,254,182,83.09923755313034,1.0
558938.0.png,128,128,159.87713623046875,35.58805450895592,72,255,183,89.85113451306461,1.0
670476.0.png,128,128,147.130615234375,30.43995081592896,65,254,189,63.73297473050639,1.0
689060.0.png,128,128,136.45770263671875,15.686890488515704,66,253,187,34.17072419778374,1.0
482540.0.png,128,128,138.21661376953125,17.392113448719527,67,253,186,52.862286513785314,1.0
286306.0.png,128,128,165.4688720703125,27.845777717924417,77,253,176,77.04329914817978,1.0
2350346.0.png,128,128,130.7235107421875,20.115719763906082,69,252,183,51.30354408224174,1.0
428434.0.png,128,128,170.99493408203125,20.838948008995832,77,253,176,72.81541173317079,1.0
482541.0.png,128,128,139.07049560546875,20.7742051874528,70,254,184,53.982785816173546,1.0
848775.0.png,128,128,135.53106689453125,27.059378639356524,65,253,188,48.127692486956064,1.0
463528.0.png,128,128,134.852783203125,16.93684218244816,70,253,183,33.86377998239486,1.0
2004018.0.png,128,128,162.861328125,19.939809539864818,78,251,173,51.09379123053398,1.0
2271999.0.png,128,128,175.37249755859375,16.988082563436137,78,251,173,36.382520999923756,1.0
940345.0.png,128,128,161.78253173828125,19.991135976070463,70,254,184,31.72906996819698,1.0
895603.0.png,128,128,151.390625,33.36170220219773,67,255,188,92.67038177752899,1.0
2146507.0.png,128,128,171.10052490234375,26.224456782048698,75,253,178,55.151561644155365,1.0
536270.0.png,128,128,153.1181640625,28.582549072346286,68,253,185,77.39301648892499,1.0
2066097.0.png,128,128,169.01043701171875,24.63449513469766,65,251,186,57.16667475888248,1.0
2087895.0.png,128,128,171.2998046875,26.922842317229723,73,253,180,79.07243732393785,1.0
2093269.0.png,128,128,169.05157470703125,29.724154406581754,76,253,177,84.93663616516156,1.0
2120674.0.png,128,128,164.12359619140625,21.48516861845634,76,254,178,57.90690480991737,1.0
706912.0.png,128,128,160.51361083984375,28.076930454189856,69,252,183,73.44374455251979,1.0
2145744.0.png,128,128,171.68060302734375,25.166236366588752,73,253,180,49.716883894160375,1.0
639496.0.png,128,128,137.12078857421875,23.139071362075974,66,253,187,41.393923869999014,1.0
950064.0.png,128,128,165.7432861328125,31.883979530867357,70,254,184,82.94959294014723,1.0
460651.0.png,128,128,141.5020751953125,22.918056208611244,65,254,189,50.613913924067866,1.0
485144.0.png,128,128,148.57684326171875,32.671805182790116,69,254,185,83.19606389970232,1.0
721529.0.png,128,128,140.6356201171875,18.793635183081307,69,253,184,28.977561849032526,1.0
2010982.0.png,128,128,163.54547119140625,25.189695502708833,70,252,182,58.4609213418733,1.0
973680.0.png,128,128,153.1258544921875,25.564821305480923,73,254,181,59.98466778035583,1.0
666725.0.png,128,128,148.68865966796875,42.569407689163874,60,255,195,121.82705261404084,1.0
1907353.0.png,128,128,160.094482421875,30.64534534372258,69,253,184,80.35115302727553,1.0
651539.0.png,128,128,131.5919189453125,25.05162098534604,56,253,197,57.004488482797356,1.0
661671.0.png,128,128,128.8670654296875,21.040486091402826,65,249,184,40.46822587099093,1.0
508413.0.png,128,128,142.8065185546875,26.71237207299751,73,254,181,53.71008979669704,1.0
643027.0.png,128,128,140.146484375,30.654709399103847,57,250,193,90.70958522153086,1.0
659109.0.png,128,128,141.61370849609375,26.16477534425656,70,253,183,55.140563573471965,1.0
715839.0.png,128,128,162.314453125,39.10745065049134,63,254,191,109.03318482068237,1.0
486719.0.png,128,128,172.13739013671875,25.171324257342942,72,252,180,79.71130244722316,1.0
2090596.0.png,128,128,171.87158203125,28.28827801206362,77,252,175,84.03730611639155,1.0
412667.0.png,128,128,169.13018798828125,18.553993916347594,75,251,176,51.04599552586954,1.0
638014.0.png,128,128,168.16961669921875,26.132058840020907,59,254,195,80.51321188893786,1.0
498694.0.png,128,128,137.47564697265625,32.86783492939083,62,254,192,81.30018463848847,1.0
2093999.0.png,128,128,169.01763916015625,29.58279015792793,75,253,178,86.09938460041656,1.0
716676.0.png,128,128,166.10235595703125,16.829531026343364,72,255,183,36.81428713046547,1.0
2332445.0.png,128,128,137.5272216796875,21.720056529849145,67,246,179,50.94322863161828,1.0
697990.0.png,128,128,154.234619140625,29.53389344570027,64,253,189,78.82270011123538,1.0
671180.0.png,128,128,138.804443359375,16.500483532886467,62,253,191,24.890854621876816,1.0
620290.0.png,128,128,136.92230224609375,29.54189838893769,62,253,191,92.43537794213972,1.0
2258000.0.png,128,128,166.54193115234375,13.549580705183303,75,253,178,28.099766070693185,1.0
878868.0.png,128,128,167.56317138671875,23.82305096797585,71,252,181,56.86196869603898,1.0
2013336.0.png,128,128,164.87042236328125,28.517694602419102,73,252,179,79.34431702160873,1.0
1019380.0.png,128,128,167.81231689453125,19.756846918209845,76,250,174,54.73254364211413,1.0
583464.0.png,128,128,144.77398681640625,22.310888850571608,65,253,188,65.28740502919281,1.0
622090.0.png,128,128,141.46307373046875,36.537581368652894,65,254,189,121.6091179487468,1.0
2236139.0.png,128,128,163.822998046875,17.98028619886138,77,251,174,43.65085541503878,1.0
499833.0.png,128,128,159.79522705078125,22.939684504547454,66,253,187,67.53282755500565,1.0
954185.0.png,128,128,145.8143310546875,16.541767675311988,70,241,171,26.636890194477264,1.0
626949.0.png,128,128,165.067138671875,35.937087419048915,64,254,190,115.23984389996805,1.0
504712.0.png,128,128,136.2440185546875,28.784414284925415,60,254,194,53.67367678955063,1.0
2327780.0.png,128,128,140.7586669921875,19.131065484767575,68,250,182,37.926196613211665,1.0
702695.0.png,128,128,163.7008056640625,31.98939276308485,67,254,187,68.52920624904158,1.0
472380.0.png,128,128,140.7891845703125,21.6511930472718,66,254,188,43.55339776589198,1.0
644735.0.png,128,128,166.07025146484375,29.716117108418093,75,254,179,85.525897717604,1.0
2314095.0.png,128,128,161.401611328125,21.632426523310652,71,252,181,58.94919128274218,1.0
612551.0.png,128,128,149.2110595703125,33.92109963920361,68,254,186,72.19955295014987,1.0
