file_name,width,height,avg_intensity,std_intensity,min_intensity,max_intensity,intensity_range,avg_gradient,aspect_ratio
tile_-48.8_-53.0.png,128,128,132.48895263671875,13.962959336205005,73,247,174,20.23522457188993,1.0
tile_11.1_-145.2.png,128,128,134.8243408203125,9.39506463818725,73,251,178,27.40151658358153,1.0
tile_44.6_-9.2.png,128,128,143.089111328125,14.78517203487627,77,243,166,17.522459120415885,1.0
tile_74.0_-153.8.png,128,128,162.34619140625,4.128759549366934,84,208,124,11.5961294909927,1.0
tile_58.3_-19.7.png,128,128,176.56903076171875,6.101817207234172,126,222,96,15.379485131740871,1.0
604766.0.png,128,128,152.3004150390625,31.847036367826757,68,254,186,64.28332186722437,1.0
tile_-6.2_9.9.png,128,128,169.36865234375,10.490652635326013,79,248,169,26.54272654126985,1.0
tile_73.7_12.2.png,128,128,167.5068359375,1.9363220079304981,155,180,25,3.909736395839701,1.0
391878.0.png,128,128,171.02459716796875,24.906371411224463,59,251,192,82.11946895755932,1.0
tile_63.6_-37.6.png,128,128,180.081298828125,11.311641320680788,108,209,101,12.815895758242391,1.0
tile_-42.1_167.8.png,128,128,171.2205810546875,15.12580467430371,77,250,173,25.6196980991728,1.0
tile_-39.4_127.6.png,128,128,135.63702392578125,13.118326012622608,81,203,122,40.284464319089054,1.0
331374.0.png,128,128,158.17718505859375,27.290994456124714,71,252,181,55.26708465746928,1.0
tile_-65.1_154.6.png,128,128,169.3446044921875,1.4274949683235998,144,188,44,1.8605690631435423,1.0
tile_48.8_-47.2.png,128,128,176.32427978515625,4.024249777695561,124,232,108,12.157836352789646,1.0
tile_-49.0_153.7.png,128,128,155.53729248046875,14.078123296802135,74,236,162,34.999116848822325,1.0
tile_-17.2_118.5.png,128,128,184.022705078125,8.197809117268914,82,249,167,18.28816096642182,1.0
tile_2.5_-108.3.png,128,128,163.320556640625,6.733243980046966,83,220,137,18.22675098285413,1.0
tile_-16.1_-29.2.png,128,128,136.6475830078125,10.261203933743229,67,234,167,23.157191254954384,1.0
tile_10.9_130.5.png,128,128,127.16168212890625,9.978421249249482,75,226,151,37.74672725253113,1.0
tile_-43.4_167.2.png,128,128,171.63421630859375,11.628745139591372,91,243,152,32.282996547376854,1.0
tile_-0.5_-119.0.png,128,128,157.061279296875,5.2386204540734775,90,213,123,14.002796839770925,1.0
tile_63.8_-10.7.png,128,128,184.92425537109375,2.024673863884775,154,201,47,6.788308872937625,1.0
tile_-72.1_-103.3.png,128,128,187.375,3.1079417236834574,136,216,80,5.840992618742991,1.0
tile_52.1_-15.6.png,128,128,175.65057373046875,12.137715160173483,84,243,159,29.03492880034984,1.0
tile_-49.3_155.3.png,128,128,142.43218994140625,9.37000733927893,67,226,159,24.203187211826823,1.0
464135.0.png,128,128,146.668212890625,28.08341587827552,67,253,186,92.30495479739164,1.0
607364.0.png,128,128,154.81298828125,27.546802985864804,59,249,190,92.61021519018378,1.0
tile_1.8_97.2.png,128,128,182.56622314453125,18.32784218246766,78,241,163,41.71785799899862,1.0
tile_32.5_32.4.png,128,128,181.50042724609375,10.737786021596154,100,237,137,40.07621213498793,1.0
tile_-28.1_111.2.png,128,128,133.02532958984375,6.8037523046916615,94,195,101,14.160384985982642,1.0
tile_-17.1_-30.3.png,128,128,139.0926513671875,4.2990005767077175,94,233,139,10.519648409882572,1.0
tile_-26.7_37.5.png,128,128,143.3511962890625,8.649172198611623,77,221,144,21.762835004052537,1.0
tile_83.6_29.1.png,128,128,160.880126953125,0.9562758286422407,151,169,18,2.305896632188177,1.0
tile_8.9_86.5.png,128,128,163.86566162109375,1.9404168006150355,142,216,74,4.476309332011698,1.0
tile_-36.7_99.3.png,128,128,146.97021484375,8.565434405528109,79,231,152,20.893042932227615,1.0
tile_-5.1_-91.9.png,128,128,160.47332763671875,5.169055737545253,94,213,119,13.137925002389766,1.0
tile_-42.1_179.7.png,128,128,176.8419189453125,2.8419956177106234,114,211,97,5.891032517345985,1.0
602573.0.png,128,128,139.82073974609375,29.008234907031586,66,252,186,63.6138601225472,1.0
722608.0.png,128,128,176.81439208984375,17.96792213844491,75,244,169,49.221689721686346,1.0
tile_34.5_-154.7.png,128,128,128.6507568359375,6.847635663007569,85,205,120,21.118171300296268,1.0
tile_55.9_-169.3.png,128,128,172.6422119140625,25.153302727001602,70,253,183,72.08817608958708,1.0
tile_-42.7_-41.9.png,128,128,135.556884765625,4.1235717771811355,87,197,110,11.127383615201985,1.0
tile_56.6_-56.8.png,128,128,172.78851318359375,5.355479851494878,112,209,97,10.576053839768832,1.0
tile_-19.8_99.9.png,128,128,125.4010009765625,12.338684244313022,68,204,136,27.47199454760527,1.0
tile_7.0_-52.1.png,128,128,165.27496337890625,16.36335219454144,78,241,163,40.68508287699774,1.0
tile_-7.4_9.3.png,128,128,158.6173095703125,3.785448751967935,126,209,83,8.717402726452898,1.0
tile_-37.5_-33.1.png,128,128,140.9468994140625,4.674577255247056,103,203,100,8.631536190863224,1.0
tile_20.0_-57.4.png,128,128,134.05853271484375,12.163886547194188,67,250,183,36.5919802179052,1.0
tile_-2.6_160.1.png,128,128,172.5831298828125,9.70008248236947,77,241,164,22.04491523896768,1.0
tile_-62.4_80.8.png,128,128,173.87835693359375,5.906387261594564,137,204,67,8.182651190389311,1.0
tile_11.0_100.9.png,128,128,191.001953125,0.10362612027251804,190,193,3,0.0501822483333665,1.0
tile_38.6_2.9.png,128,128,169.65399169921875,19.32540508433806,76,248,172,40.13675060231996,1.0
tile_10.0_-137.6.png,128,128,139.7098388671875,7.16970697578133,77,225,148,25.08265480687908,1.0
921574.0.png,128,128,157.8408203125,19.198421762093165,65,250,185,46.119070047046606,1.0
tile_-18.2_-3.8.png,128,128,137.91619873046875,10.526937001815567,98,203,105,19.491196745004103,1.0
504528.0.png,128,128,170.82257080078125,34.95496825202904,51,253,202,126.43045611046666,1.0
tile_25.4_-69.8.png,128,128,130.605712890625,5.316742936123413,77,211,134,15.505814665932974,1.0
374918.0.png,128,128,148.85888671875,26.669334496225105,67,243,176,28.26962379188618,1.0
tile_-33.2_153.4.png,128,128,139.57818603515625,9.232041013765269,76,217,141,15.260624703015285,1.0
567186.0.png,128,128,125.8885498046875,24.225564177400283,57,249,192,79.81411029879376,1.0
tile_-28.0_-5.0.png,128,128,146.18499755859375,8.42389771773038,66,248,182,17.294028256359873,1.0
